"№ 23. Минск, ул.Ротмистрова, 4";23;"3730";"Заводской район";
"№ 29. Минск, ул.Челюскинцев, 30";29;"5599";"Заводской район";
"№ 33. Минск, ул.Инженерная, 5";33;"0707";"Заводской район";
"№ 45. Минск, ул. Краснослабодская, 84";45;"0289";"Заводской район";
"№ 57. Минск, ул. Илимская, 10";57;"8526";"Заводской район";
"№ 62. Минск, ул.Свислочская в р-не ГСК Кольцо";62;"7242";"Заводской район";
"№ 63. Минск, ул.Охотская, 172";63;"8973";"Заводской район";
"№ 11. Минск, ул.Тростенецкая, 8";11;"2170";"Ленинский район";
"№ 26. Минск, ул. Горовца, 7А";26;"1549";"Ленинский район";
"№ 32. Минск, ул.Прушинских,23";32;"7857";"Ленинский район";
"№ 36. Минск, ул.Сырокомли,11а";36;"5402";"Ленинский район";
"№ 37. Минск, ул. Бородинская, 2В";37;"4346";"Ленинский район";
"№ 41. Минск, ул.Либаво-Роменская, 7";41;"7448";"Ленинский район";
"№ 46. Минск, Дворищи, 27а";46;"5451";"Ленинский район";
"№ 47. Минск, пер.Чижевских,1в";47;"8178";"Ленинский район";
"№ 48. Минск, ул.Семенова, 30/1";48;"6197";"Ленинский район";
"№ 56. Минск, 2-ой Велосипедный пер. 32а";56;"0195";"Ленинский район";
"№ 22. Минск, ул. Семашко,17б";22;"7321";"Московский район";
"№ 24. Минск, ул. Харьковская,57б";24;"4524";"Московский район";
"№ 25. Минск, ул. Слободская, 137";25;"3493";"Московский район";
"№ 50. Минск, ул. К.Либкнехта,1В (переулок Северный)";50;"5291";"Московский район";
"№ 53 Минск, ул. Железнодорожная, 39";53;"1818";"Московский район";
"№ 59. Минск, Слободская, 128";59;"9524";"Московский район";
"№ 67. Минск, ул. Н.Орды, 30";67;"6387";"Московский район";
"№ 72. Минск, ул. Волоха, 20а";72;"8581";"Московский район";
"№ 73. Минск, ул. Белецкого, (нап-в ж/д 20)";73;"8031";"Московский район";
"№ 2. Минск, ул. Левкова, 35 к.1";2;"2390";"Октябрьский район";
"№ 3. Минск, ул. Вирская, 17а";3;"0492";"Октябрьский район";
"№ 38. Минск, ул. Серова,1Б";38;"9666";"Октябрьский район";
"№ 39. Минск, ул. Корженевского, 20Б";39;"8286";"Октябрьский район";
"№ 64. Минск, ул. Кижеватова,42а";64;"1867";"Октябрьский район";
"№ 69. Минск, ул. Стебенева,21";69;"8777";"Октябрьский район";
"№ 80. Минск, ул.Могилевская, 78";80;"6952";"Октябрьский район";
"№ 4. Минск, ул. Филимонова¸11/2";4;"4253";"Партизанский район";
"№ 19. Минск, ул. Карвата,88";19;"1804";"Партизанский район";
"№ 55. Минск, ул. Клумова,18";55;"4374";"Партизанский район";
"№ 5. Минск, ул. Никифорова, 20";5;"1799";"Первомайский район";
"№ 13. Минск, ул. Рогачевская,1";13;"8885";"Первомайский район";
"№ 34. Минск, ул. Гинтовта, 51";34;"5164";"Первомайский район";
"№ 35. Минск, ул. Кутузова, 10";35;"5065";"Первомайский район";
"№ 49. Минск, пр-т. Независимости,193А";49;"5980";"Первомайский район";
"№ 58. Минск, ул. Скорины, 51";58;"8992";"Первомайский район";
"№ 61. Минск, пер. Калинина,16";61;"3045";"Первомайский район";
"№ 65. Минск, ул. Почтовая, 16";65;"4680";"Первомайский район";
"№ 68. Минск, Пересечение ул.Славинского и 5-го Слепнянского переулка";68;"8542";"Первомайский район";
"№ 75. Минск, ул. Кнорина, 59";75;"7592";"Первомайский район";
"№ 27. Минск, ул. Зеленолугская,44";27;"9539";"Советский район";
"№ 42. Минск, 4 пер. Кольцова, 53/2";42;"2820";"Советский район";
"№ 43. Минск, ул. Некрасова, 109";43;"9590";"Советский район";
"№ 6. Минск, н-в ж/д Лещинского, 17";6;"7014";"Фрунзенский район";
"№ 7. Минск, ул.Домбровская, 33";7;"4502";"Фрунзенский район";
"№ 12. Минск, Перекресток пер.1-й Короткий - ул. Гурского";12;"5351";"Фрунзенский район";
"№ 14. Минск, ул. Бирюзова, 7";14;"7469";"Фрунзенский район";
"№ 16. Минск, ул. Матусевича,44Б";16;"0957";"Фрунзенский район";
"№ 18. Минск, ул. Академика Жебрака, 31";18;"2708";"Фрунзенский район";
"№ 21. Минск, ул. Горецкого,10";21;"9216";"Фрунзенский район";
"№ 30. Минск, ул. Лынькова,121а)";30;"9754";"Фрунзенский район";
"№ 51. Минск, проезд Масюковщина, 4";51;"1876";"Фрунзенский район";
"№ 52. Минск, пер. Масюковщина, д.33";52;"9246";"Фрунзенский район";
"№ 54. Минск, ул. Панченко,78";54;"7229";"Фрунзенский район";
"№ 66. Минск, ул. Лидская, 22";66;"2165";"Фрунзенский район";
"№ 70. Минск, ул. Лынькова (напротив ж/д 3)";70;"4376";"Фрунзенский район";
"№ 71. Минск, ул. Пономаренко, 75";71;"1914";"Фрунзенский район";
"№ 76. Минск, ул.  Шаранговича, 79";76;"1741";"Фрунзенский район";
"№ 8. Минск, ул.Будславская между строениями 9 и 11";8;"6977";"Центральный район";
"№ 77. Минск, ул.Нововиленская, 38";77;"3561";"Центральный район";
"№ 15. г. Фаниполь, ул. Заводская, 6в";15;"1365";"Минская область";
"№ 20. г.Дзержинск, Базарная пл.,1 (площадка)";20;"8300";"Минская область";
"№ 31. Минская обл., Мядельский р-н, г. Мядель, ул. Интернациональная, 4/4";31;"8636";"Минская область";
"№ 78. г.Дзержинск, ул. Фоминых, 54";78;"0678";"Минская область";
"№ 81: г. Клецк, ул. Победы, 2а, Минская обл.";81;"6649";"Минская область";
"№ 83. Минская обл., Смолевичский р-н, Смолевичи, ул. Песчаная, 5Б";83;"6402";"Минская область";
"№ 84. Минская обл., Пуховичский р-н, гп Правдинский, ул. Зелёная, 53";84;"2549";"Минская область";
"№ 85: г.п. Смиловичи, ул. Революционная, 40, Червенский р-н";85;"3430";"Минская область";
"№ 86. Минская обл., г. Молодечно, ул. Виленская, 201.";86;"5891";"Минская область";
"№ 89. Минская обл.,Смолевичи, ул. Западная, 5";89;"4125";"Минская область";
"№ 92: г.п. Свислочь, Пуховичский р-н, Минская обл.";92;"4633";"Минская область";
"№ 93 г. Несвиж, ул. Ленинская, 132, Минская обл.";93;"9315";"Минская область";
"№ 94, Минская обл., Молодечненский р-н. д. Носилово, ул. Новая, 2Б/2";94;"7076";"Минская область";
"№ 95: д. Дещенка, Узденский р-н, Минская обл.";95;"7496";"Минская область";
"№ 94: г. Вилейка, ул. Шубина, 41";96;"7372";"Минская область";
"№ 97: г. Слуцк, 2-ой Пролетарский переулок, 12, Минская обл.";97;"4067";"Минская область";
"№ 98, Заславль, ул. Дзержинского, 26, Минская обл.";98;"2722";"Минская область";
"Минская обл.,г. Вилейка, пер. Колхозный, 11";99;"7049";"Минская область";
"Минская обл.,г. Воложин, ул. Чапаева, 50";100;"5132";"Минская область";
"№ 9. Минский р-н д. Обчак";9;"3607";"Минский район";
"№ 10. Минский р-н, Могилевское шоссе, 11км";10;"7327";"Минский район";
"№ 17. Минский р-н, Боровляны, п. Лесковка, ул. Совхозная, 4";17;"1445";"Минский район";
"№ 60 Минская обл., дер. Старое село, ул. Мира, 25/1";60;"7514";"Минский район";
"№ 79. Минская обл., Минский р-н, д. Щомыслица, ул. Кирюникова, 4";79;"0752";"Минский район";
"№ 90 аг. Семково, ул. Белорусская, 2, Минский р-н, Минская обл.";90;"5747";"Минский район";
"№ 91 аг. Колодищи, ул. Триумфальная, Минский р-н";91;"5778";"Минский район";
"г. Брест, ул. Красногвардейская, 112/1";101;"3249";"Брестская область";
"г. Брест, ул. Дубровская, 54";102;"3622";"Брестская область";
"г. Брест, ул. Смирнова, 5/1";103;"2076";"Брестская область";
"г. Брест, ул. Янки Купалы 111";104;"4790";"Брестская область";
"Брестская обл., г. Кобрин, ул. Пролетарская, 130";105;"0058";"Брестская область";
"Брестская обл., г. Кобрин, ул. Суворова, 11";106;"9678";"Брестская область";
"Брестская обл., г. Кобрин, ул. Дзержинского, 78";107;"2735";"Брестская область";
"Брестская обл., г. Кобрин, ул. Первомайская, 149А";108;"7239";"Брестская область";
"Брестская обл., г. Пинск, ул. Гайдаенко, 43";109;"3273";"Брестская область";
"Брестская обл., г. Пинск, ул. Калиновского, 11Т/1";110;"8888";"Брестская область";
"Брестская обл., г. Ивацевичи, ул. Загородная, 4";111;"3916";"Брестская область";
"Брестская обл., г.Ганцевичи, ул. Октябрьская, 74А";112;"1418";"Брестская область";
"Брестская обл., г. Дрогичин, ул. Ленина, 191";113;"4065";"Брестская область";
